test_year,train_n,test_n,auc,brier,all_expectancy_r,q50_n,q50_expectancy_r,q70_n,q70_expectancy_r
2023,452,196,0.6959459459459459,0.21220384810142934,0.7133181423353085,110,1.0009632784549338,72,1.3534613281737273
2024,648,181,0.6825157232704403,0.23720990661859892,0.04943774939048571,80,0.4228568964837784,47,0.8181154769347952
2025,829,189,0.7615039281705949,0.19699190795636784,0.49992089121344246,93,0.9974590630148019,55,1.3042397452593917
