field,value,n,win_rate,expectancy_r,profit_factor
high_event_30m,0,978,0.5204498977505112,0.42609100853518267,1.6960219608436276
high_event_30m,1,44,0.75,1.3509515208461973,5.563120067508097
high_event_120m,0,892,0.5224215246636771,0.4268322854775203,1.6954630551434935
high_event_120m,1,130,0.5846153846153846,0.7340344201437943,2.4844088529727753
