symbol,trades_total,ambiguous,timeouts,used_5m_resolution,n,win_rate,expectancy_r,profit_factor,total_r,max_drawdown_r
EURUSD,248,13,5,57,235,0.5702127659574469,0.5614001444593095,2.0006883469085976,131.92903394793774,-10.771989632368587
GBPUSD,269,9,1,53,260,0.5115384615384615,0.3598574478079348,1.5546985572173126,93.56293643006306,-15.311460182820326
NAS100,260,17,0,66,243,0.5432098765432098,0.619319512061108,2.1402514677643127,150.49464143084924,-9.551356928394526
XAUUSD,303,19,2,66,284,0.5035211267605634,0.35271923047813825,1.55886124024936,100.17226145579126,-10.39087394492621
