feature_set,pooled_auc,pooled_brier,all_expectancy_r,q50_n,q50_expectancy_r,q70_n,q70_expectancy_r
price_structure_only,0.7404279279279279,0.20889990691243662,0.42975907593063434,288,0.9053033379283948,174,1.1139710988381635
price_structure_plus_calendar,0.7276276276276276,0.21264586986107523,0.42975907593063434,294,0.8273818076164489,171,1.1357631819621627
