test_year,auc,brier,all_n,all_win_rate,all_expectancy_r,all_profit_factor,q50_threshold,q50_coverage,q50_n,q50_win_rate,q50_expectancy_r,q50_profit_factor,q70_threshold,q70_coverage,q70_n,q70_win_rate,q70_expectancy_r,q70_profit_factor
2023,0.7125709297250109,0.2150827488478709,332,0.5240963855421686,0.7833534354257328,2.6013187943974767,0.46399897775715576,0.5813253012048193,193,0.6580310880829016,1.2470956346921405,4.511038851368592,0.5731365044010787,0.3885542168674699,129,0.7596899224806202,1.5896019186253527,7.313010061676331
2024,0.6229481750352894,0.2494296293756359,316,0.4588607594936709,0.5253738249777148,1.9114283001928236,0.4696446324920825,0.6487341772151899,205,0.5024390243902439,0.6640099602602926,2.233311964167102,0.5782418749541663,0.4588607594936709,145,0.5586206896551724,0.8594905036587088,2.777476255931432
2025,0.6486819727891155,0.23163675515694784,307,0.4788273615635179,0.5864296669352301,2.061566483077816,0.4591062187862271,0.495114006514658,152,0.6052631578947368,1.0053436640270994,3.3496209175354594,0.5557747008652735,0.2964169381107492,91,0.6483516483516484,1.1248339633083446,3.883570792139561
2026,0.6089280940924887,0.24242068708740305,173,0.49710982658959535,0.723947417088753,2.416530642975663,0.4522359961328994,0.36416184971098264,63,0.6349206349206349,1.192585305546908,4.135746914049484,0.5456943356874631,0.17341040462427745,30,0.7333333333333333,1.5387297569993572,6.656181592676624
