symbol,train_n,test_n,auc,baseline_exp,q50_cov,q50_n,q50_exp,q70_cov,q70_n,q70_exp
EURUSD,1291,123,0.6379495437466451,0.46529234236297284,0.9024390243902439,111,0.45211858391083865,0.7723577235772358,95,0.6304623762513211
GBPUSD,1301,132,0.693142461325329,0.7621195667560566,0.8484848484848485,112,0.8622217828315498,0.6893939393939394,91,1.108304187867472
US30,1350,112,0.6031289910600256,0.7833239704613669,0.16071428571428573,18,1.2935859926929951,0.026785714285714284,3,2.4465787438640714
XAUUSD,1299,113,0.5212698412698412,0.5284405777995724,0.36283185840707965,41,0.5958183689159307,0.09734513274336283,11,0.5237243210624409
