spread_cost_multiple,selection,n,win_rate,expectancy_r,profit_factor,total_r,max_drawdown_r
1.0,all_v2,1128,0.48936170212765956,0.6483761348934141,2.2137452165142713,731.3682801597711,-7.621618473751141
1.0,meta_q50,613,0.5905383360522023,0.9865523825946448,3.2572246366523863,604.7566105305173,-6.3873688525090415
1.0,meta_q70,395,0.6582278481012658,1.2106495035549958,4.269678103715482,478.20655390422337,-6.858911585711269
1.25,all_v2,1128,0.48936170212765956,0.6340376626796951,2.1739619212865713,715.194483502696,-8.152023092188927
1.25,meta_q50,613,0.5905383360522023,0.96734226462794,3.1788705443566165,592.9808082169272,-6.484211065636373
1.25,meta_q70,395,0.6582278481012658,1.1873625123551372,4.146256030035371,469.0081923802792,-7.198639482139129
1.5,all_v2,1128,0.48936170212765956,0.619699190465976,2.135036862253099,699.020686845621,-8.682427710626769
1.5,meta_q50,613,0.5905383360522023,0.9481321466612351,3.1029149293770693,581.2050059033371,-6.581053278763534
1.5,meta_q70,395,0.6582278481012658,1.1640755211552787,4.0274069260962335,459.8098308563351,-7.538367378566818
2.0,all_v2,1128,0.48847517730496454,0.5910222460385379,2.0594130421890466,666.6730935314708,-9.743236947502396
2.0,meta_q50,613,0.5889070146818923,0.909711910727825,2.956793924941517,557.6534012761567,-6.774737705018055
2.0,meta_q70,395,0.6556962025316456,1.1175015387555614,3.7999172601509064,441.41310780844674,-8.21782317142248
